wday,round_arrival,round_departure,local_activity_happened_marker,probability
0,1,2,1,0.002747253
0,1,6,1,0.002747253
0,4,7,0,0.002747253
0,4,11,0,0.002747253
0,4,11,1,0.005494505
0,4,12,0,0.005494505
0,5,13,0,0.002747253
0,5,13,1,0.002747253
0,5,14,1,0.002747253
0,6,7,0,0.002747253
0,6,12,1,0.002747253
0,6,15,1,0.002747253
0,6,16,0,0.002747253
0,7,8,0,0.002747253
0,7,11,0,0.002747253
0,7,16,0,0.002747253
0,8,9,0,0.002747253
0,8,13,0,0.005494505
0,9,12,0,0.005494505
0,9,13,0,0.005494505
0,10,12,0,0.005494505
0,10,13,0,0.005494505
0,10,13,1,0.005494505
0,10,15,0,0.008241758
0,11,11,0,0.008241758
0,11,13,0,0.008241758
0,11,14,0,0.008241758
0,13,14,0,0.005494505
0,13,15,0,0.005494505
0,13,17,1,0.005494505
0,13,22,0,0.002747253
0,14,19,1,0.002747253
0,14,22,0,0.002747253
0,15,20,1,0.002747253
0,21,21,0,0.002747253
0,22,0,0,0.002747253
1,0,22,1,0.002747253
1,1,0,1,0.002747253
1,1,22,0,0.002747253
1,2,3,0,0.002747253
1,3,11,1,0.002747253
1,4,6,0,0.002747253
1,4,10,0,0.002747253
1,4,11,0,0.002747253
1,4,11,1,0.002747253
1,4,11,1,0.002747253
1,4,13,0,0.005494505
1,5,7,0,0.002747253
1,5,11,1,0.005494505
1,6,6,0,0.005494505
1,6,13,1,0.002747253
1,7,8,0,0.005494505
1,7,10,0,0.002747253
1,7,10,1,0.002747253
1,7,11,0,0.002747253
1,7,15,0,0.002747253
1,7,16,0,0.002747253
1,8,14,0,0.002747253
1,9,9,0,0.002747253
1,9,10,0,0.002747253
1,9,12,0,0.002747253
1,9,13,0,0.008241758
1,9,14,1,0.002747253
1,10,10,0,0.005494505
1,10,13,0,0.005494505
1,10,14,0,0.005494505
1,11,16,0,0.005494505
1,12,12,0,0.005494505
1,12,13,0,0.005494505
1,12,15,0,0.008241758
1,12,16,0,0.008241758
1,12,17,0,0.008241758
1,13,13,0,0.008241758
1,13,16,0,0.005494505
1,13,18,0,0.005494505
1,13,21,0,0.005494505
1,14,14,0,0.002747253
1,14,16,0,0.002747253
1,15,16,0,0.002747253
1,15,17,0,0.002747253
1,15,21,0,0.002747253
1,16,19,0,0.002747253
1,20,20,0,0.002747253
2,1,23,1,0.002747253
2,2,0,1,0.002747253
2,2,0,1,0.002747253
2,4,4,0,0.002747253
2,4,6,0,0.005494505
2,4,11,0,0.002747253
2,4,12,0,0.005494505
2,4,13,0,0.002747253
2,5,5,0,0.002747253
2,5,12,1,0.002747253
2,5,13,1,0.002747253
2,5,14,1,0.002747253
2,6,6,0,0.005494505
2,6,7,0,0.005494505
2,7,9,0,0.002747253
2,7,13,0,0.002747253
2,7,13,1,0.002747253
2,7,14,0,0.002747253
2,7,15,0,0.002747253
2,7,16,0,0.005494505
2,8,9,0,0.005494505
2,8,11,0,0.002747253
2,8,17,1,0.002747253
2,9,11,0,0.005494505
2,9,12,0,0.005494505
2,9,14,0,0.005494505
2,9,14,1,0.005494505
2,9,22,0,0.005494505
2,10,11,0,0.005494505
2,10,14,0,0.008241758
2,10,14,1,0.008241758
2,10,15,0,0.008241758
2,11,11,0,0.008241758
2,11,12,0,0.005494505
2,11,14,0,0.005494505
2,11,17,0,0.005494505
2,12,15,0,0.002747253
2,12,17,0,0.002747253
2,12,17,1,0.002747253
2,12,18,0,0.002747253
2,13,13,0,0.002747253
2,13,14,0,0.008241758
2,13,21,1,0.002747253
2,13,22,0,0.002747253
2,14,21,0,0.002747253
2,16,20,0,0.002747253
2,18,20,0,0.002747253
2,19,21,1,0.002747253
2,22,23,0,0.002747253
3,1,1,1,0.002747253
3,2,4,0,0.002747253
3,3,11,1,0.002747253
3,4,11,1,0.002747253
3,5,10,1,0.002747253
3,5,13,1,0.002747253
3,5,16,1,0.002747253
3,5,16,1,0.002747253
3,6,6,0,0.002747253
3,6,11,1,0.005494505
3,6,12,0,0.002747253
3,6,13,1,0.002747253
3,6,16,1,0.002747253
